
1 	 0.056 	 5.079786 
2 	 0.041 	 9.702822 
3 	 0.046 	 10.28311 
4 	 0.054 	 10.817 
5 	 0.059 	 11.16063 
6 	 0.047 	 11.50134 
7 	 0.064 	 11.72449 
8 	 0.048 	 11.96026 
9 	 0.047 	 12.26381 
10 	 0.052 	 12.68579 
11 	 0.055 	 12.94923 
12 	 0.039 	 13.2287 
13 	 0.059 	 13.39242 
14 	 0.054 	 13.57336 
15 	 0.042 	 13.69861 
16 	 0.053 	 13.83754 
17 	 0.056 	 15.65671 
18 	 0.061 	 16.56494 
19 	 0.037 	 17.02884 
20 	 0.039 	 17.37681 
21 	 0.055 	 17.67738 
22 	 0.039 	 17.93504 
23 	 0.059 	 18.14345 
24 	 0.045 	 18.34351 
25 	 0.04 	 18.59466 
26 	 0.052 	 18.84958 
27 	 0.059 	 19.07649 
28 	 0.05 	 19.29259 
29 	 0.045 	 19.44685 
30 	 0.051 	 19.60595 
31 	 0.048 	 19.73118 
32 	 0.054 	 19.85957 
33 	 0.057 	 19.96976 
34 	 0.064 	 20.08874 
35 	 0.05 	 20.24963 
36 	 0.058 	 20.42664 
37 	 0.044 	 20.57719 
38 	 0.045 	 20.73307 
20.73334 
1 	 0.056 	 5.24393 
